,Rank,Movie Title,Gross,Release,Distributor
347,348,Taken 3,"$32,200,000.00",3/20,China Film
348,349,Close Friends,"$32,180,000.00",7/30,
349,350,Black and White: Episode 2,"$32,090,000.00",10/1,HuaXia
350,351,Blind Detective,"$32,061,558.00",7/4,China Film
351,352,Bounty Hunters,"$31,911,723.00",7/1,
352,353,Don't Go Breaking My Heart 2,"$31,630,000.00",11/12,
353,354,A Good Day to Die Hard,"$31,620,000.00",3/14,China Film
354,355,Doraemon the Movie: Nobita's Treasure Island,"$31,578,357.00",6/1,
355,356,Sing,"$31,379,920.00",2/17,UPI
356,357,Say Yes!,"$31,260,000.00",2/12,China Film
357,358,The Predator (2018),"$31,230,913.00",10/26,
358,359,The Four 3 (2014),"$31,090,000.00",8/22,HuaXia
359,360,This Is Not What I Expected,"$30,658,945.00",4/27,
360,361,A Wedding Invitation,"$30,610,000.00",4/12,China Film
361,362,The Way of the Bug,"$30,355,804.00",6/15,
362,363,Saving Mr. Wu,"$30,350,000.00",9/18,
363,364,Z-Storm 2 (S Storm),"$30,327,990.00",9/14,
364,365,Wonder,"$30,105,510.00",1/19,TIK
365,366,Brick Mansions,"$29,840,000.00",8/1,China Film
366,367,Reset (Ni Shi Ying Jiu),"$29,836,275.00",6/30,
367,368,Maze Runner: The Scorch Trials,"$29,575,097.00",11/4,Fox
368,369,Ghost in the Shell (2017),"$29,327,947.00",4/7,PPI
369,370,Rise of the Legend,"$29,290,000.00",11/21,China Film
370,371,Silent Witness,"$29,260,000.00",9/13,
371,372,White House Down,"$28,470,000.00",7/22,HuaXia
372,373,A Dog's Journey,"$28,318,519.00",5/17,
373,374,The Four 2 (2013),"$28,170,000.00",12/6,
374,375,The Hunger Games: Catching Fire,"$27,920,000.00",11/21,China Film
375,376,When Larry Met Mary,"$27,859,882.00",7/15,
376,377,Cloud Atlas,"$27,710,000.00",1/30,HuaXia
377,378,Home (2015),"$27,700,000.00",4/24,China Film
378,379,Bride Wars (2015),"$27,670,000.00",8/20,HuaXia
379,380,Tau ming chong (The Warlords),"$27,601,246.00",12/12,China Film
380,381,Seventh Son,"$27,560,000.00",1/16,China Film
381,382,Yesterday Once More (Shei de qing chun bu mi mang),"$27,411,872.00",4/22,
382,383,The Last Witch Hunter,"$27,404,245.00",1/15,
383,384,The Forbidden Kingdom,"$26,899,556.00",4/24,HuaXia
384,385,The Faces of My Gene,"$26,796,279.00",2/16,
385,386,Ferdinand,"$26,457,430.00",1/19,Fox
386,387,Peter Rabbit,"$26,289,410.00",3/2,Sony
387,388,One Night Surprise,"$26,212,189.00",8/9,China Film
388,389,Jack Ryan: Shadow Recruit,"$26,210,000.00",1/17,China Film
389,390,Cheung Gong 7 hou (CJ7),"$26,166,803.00",1/30,China Film
390,391,Kung Fu Panda,"$26,024,298.00",6/20,
391,392,A Chinese Odyssey Part Two: Cinderella,"$25,960,664.00",4/13,
392,393,Contratiempo (The Invisible Guest),"$25,919,310.00",9/15,
393,394,Oz The Great and Powerful,"$25,910,000.00",3/29,China Film
394,395,Wo de zao geng nv you (Meet Miss Anxiety),"$25,910,000.00",12/12,China Film
395,396,Tonari no Totoro (My Neighbor Totoro),"$25,798,550.00",12/14,
396,397,Fall in Love at First Kiss,"$25,765,510.00",2/14,
397,398,Men in Black International,"$25,746,719.00",6/14,
398,399,Elysium,"$25,690,000.00",9/5,HuaXia
399,400,Smurfs: The Lost Village,"$25,558,593.00",4/21,Sony
400,401,Love Off the Cuff,"$25,531,588.00",4/28,
401,402,Dak Siu San Fan (Special ID),"$25,040,000.00",10/18,China Film
402,403,Call of Heroes,"$25,033,616.00",8/12,
403,404,Johnny English Strikes Again,"$24,911,489.00",11/23,
404,405,SoulMate,"$24,684,439.00",9/14,
405,406,Triumph in the Skies,"$24,590,000.00",2/19,
406,407,Twenty Two,"$24,523,388.00",8/14,
407,408,Sherlock: The Abominable Bride,"$24,392,699.00",1/4,
408,409,The Little Prince,"$24,037,389.00",10/16,
409,410,The Maze Runner,"$23,990,000.00",10/28,HuaXia
410,411,Bring Happiness Home,"$23,980,000.00",1/15,
411,412,Oblivion,"$23,860,000.00",5/10,China Film
412,413,The Stolen Years,"$23,840,000.00",8/29,
413,414,Billy Lynn's Long Halftime Walk,"$23,761,008.00",11/11,Sony
414,415,Wild City,"$23,670,000.00",7/30,
415,416,Wan Wu Sheng Zhang,"$23,620,000.00",4/17,
416,417,Du zhan (Drug War),"$23,180,000.00",4/2,
417,418,To the Fore,"$23,160,000.00",8/6,
418,419,New Happy Dad and Son 3: Adventure in Russia,"$23,130,469.00",7/6,
419,420,Now You See Me,"$22,950,000.00",10/10,China Film
420,421,Bing Fung: Chung Sang Chi Mun (Iceman),"$22,800,000.00",4/25,
421,422,Sweet Sixteen (Xia You Qiao Mu),"$22,779,899.00",8/5,
422,423,Ender's Game,"$22,710,000.00",1/7,China Film
423,424,The Knight of Shadows: Between Yin and Yang,"$22,687,179.00",2/5,
424,425,Europe Raiders,"$22,400,790.00",8/17,
425,426,Assassin's Creed,"$22,365,730.00",2/24,Fox
426,427,Mojin: The Worm Valley,"$22,230,102.00",12/29,
427,428,The Smurfs 2,"$22,060,000.00",9/12,China Film
428,429,Hung wun chiu yun (My Lucky Star),"$21,970,000.00",9/17,
429,430,Dumbo (2019),"$21,889,698.00",3/29,
430,431,Love Studio,"$21,590,285.00",3/11,
431,432,The Hunger Games: Mockingjay - Part 2,"$21,525,450.00",11/19,
432,433,Doraemon: Great Adventure in the Antarctic Kachi Kochi,"$21,468,215.00",5/30,
433,434,Hichiki,"$21,410,675.00",10/12,
434,435,Big Brother,"$21,292,966.00",8/24,
435,436,The Hitman's Bodyguard,"$21,146,741.00",9/22,Cristal
436,437,Out of Inferno,"$21,140,000.00",9/30,HuaXia
437,438,Quantum of Solace,"$21,009,412.00",11/5,
438,439,The BFG,"$20,995,699.00",10/14,Disney
439,440,Cars 3,"$20,826,558.00",8/25,Disney
440,441,Lady of the Dynasty,"$20,660,000.00",7/30,China Film
441,442,One Hundred Thousand Bad Jokes 2,"$20,460,352.00",8/18,
442,443,Cock and Bull,"$20,399,982.00",9/14,CL
443,444,Transcendence,"$20,280,000.00",4/18,HuaXia
444,445,Who Sleeps My Bro,"$20,069,212.00",4/1,
445,446,Mr. Highheels,"$20,003,919.00",2/19,
446,447,Life (2017),"$19,881,127.00",5/19,
447,448,Royal Treasure,"$19,800,195.00",1/15,
448,449,Xi Yang Yang Yu Hui Tai Lang Zhi Xi Qi Yang Yang Guo She Nian,"$19,570,000.00",1/24,
449,450,Master Z: Ip Man Legacy,"$19,490,366.00",12/21,
